"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"4/24/2026","4/24/2026","4/27/2026","TQQQ","TQQQ 5/22/2026 Put $56.00","STO","1","$1.98","$197.94"
"4/23/2026","4/23/2026","4/24/2026","SOFI","SOFI 5/1/2026 Call $20.00","STO","3","$0.40","$119.86"
"4/23/2026","4/23/2026","4/24/2026","NVDA","NVDA 5/1/2026 Call $205.00","STO","1","$2.45","$244.94"
"4/23/2026","4/23/2026","4/24/2026","HOOD","HOOD 5/8/2026 Call $95.00","STO","1","$1.95","$194.94"
"4/21/2026","4/21/2026","4/22/2026","HOOD","HOOD 5/1/2026 Call $96.00","STO","1","$2.15","$214.94"
"4/16/2026","4/16/2026","4/17/2026","HOOD","HOOD 5/15/2026 Call $85.00","BTC","2","$7.40","($1,480.08)"
"4/15/2026","4/15/2026","4/16/2026","TQQQ","TQQQ 5/1/2026 Put $47.00","BTC","1","$0.74","($74.04)"
"4/15/2026","4/15/2026","4/16/2026","TQQQ","TQQQ 5/1/2026 Put $47.00","BTC","1","$0.74","($74.04)"
"4/15/2026","4/15/2026","4/16/2026","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","7","$83.82","($586.74)"
"4/15/2026","4/15/2026","4/16/2026","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","84","$83.83","($7,041.72)"
"4/15/2026","4/15/2026","4/16/2026","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","9","$83.50","($751.50)"
"4/15/2026","4/15/2026","4/16/2026","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","100","$83.40","($8,340.00)"
"4/14/2026","4/14/2026","4/15/2026","PLTR","PLTR 5/15/2026 Put $125.00","STO","1","$5.10","$509.93"
"4/14/2026","4/14/2026","4/15/2026","HOOD","HOOD 5/15/2026 Call $90.00","STO","1","$2.30","$229.94"
"4/14/2026","4/14/2026","4/15/2026","HOOD","HOOD 5/15/2026 Call $85.00","STO","2","$3.54","$707.89"
"4/14/2026","4/14/2026","4/15/2026","SOFI","SOFI 5/15/2026 Put $17.00","STO","3","$0.93","$278.86"
"4/14/2026","4/14/2026","4/15/2026","SOFI","SOFI 5/15/2026 Call $16.00","BTC","3","$2.67","($801.12)"
"4/14/2026","4/14/2026","4/15/2026","TQQQ","TQQQ 4/17/2026 Put $47.00","BTC","1","$0.12","($12.04)"
"4/14/2026","4/14/2026","4/15/2026","TQQQ","TQQQ 4/17/2026 Put $47.00","BTC","1","$0.12","($12.04)"
"4/13/2026","4/13/2026","4/14/2026","SOFI","SOFI 5/15/2026 Call $16.00","STO","3","$1.69","$506.85"
"4/9/2026","4/9/2026","4/10/2026","TQQQ","TQQQ 5/1/2026 Put $40.00","BTC","1","$0.75","($75.04)"
"4/9/2026","4/9/2026","4/10/2026","TQQQ","TQQQ 5/1/2026 Put $38.00","BTC","2","$0.55","($110.08)"
"4/9/2026","4/9/2026","4/10/2026","TQQQ","TQQQ 5/1/2026 Put $47.00","STO","2","$2.12","$423.90"
"4/8/2026","4/8/2026","4/9/2026","TQQQ","TQQQ 4/24/2026 Put $38.00","BTC","1","$0.37","($37.04)"
"4/8/2026","4/8/2026","4/9/2026","TQQQ","TQQQ 4/17/2026 Put $40.00","BTC","1","$0.22","($22.04)"
"4/8/2026","4/8/2026","4/9/2026","TQQQ","TQQQ 4/17/2026 Put $40.00","BTC","1","$0.22","($22.04)"
"4/8/2026","4/8/2026","4/9/2026","TQQQ","TQQQ 4/17/2026 Put $40.00","BTC","1","$0.22","($22.04)"
"4/8/2026","4/8/2026","4/9/2026","TQQQ","TQQQ 4/24/2026 Put $33.00","BTC","3","$0.13","($39.12)"
"4/7/2026","4/7/2026","4/8/2026","TQQQ","TQQQ 4/24/2026 Put $38.00","STO","1","$1.23","$122.94"
"4/7/2026","4/7/2026","4/8/2026","TQQQ","TQQQ 4/24/2026 Put $30.00","BTC","3","$0.30","($90.12)"
"4/6/2026","4/6/2026","4/7/2026","TQQQ","TQQQ 5/1/2026 Put $25.00","BTC","1","$0.18","($18.04)"
"4/6/2026","4/6/2026","4/7/2026","TQQQ","TQQQ 5/1/2026 Put $25.00","BTC","2","$0.18","($36.08)"
"4/6/2026","4/6/2026","4/7/2026","TQQQ","TQQQ 5/1/2026 Put $40.00","STO","1","$1.80","$179.94"
"4/6/2026","4/6/2026","4/7/2026","HOOD","HOOD 5/1/2026 Call $85.00","BTC","4","$0.95","($380.16)"
"4/6/2026","4/6/2026","4/7/2026","","ACH Withdrawal","ACH","","","($40,000.00)"
"4/2/2026","4/2/2026","4/6/2026","TQQQ","TQQQ 5/1/2026 Put $38.00","STO","2","$1.85","$369.91"
"4/1/2026","4/1/2026","4/1/2026","NVDA","Cash Div: R/D 2026-03-11 P/D 2026-04-01 - 200 shares at 0.01","CDIV","","","$2.00"
"4/1/2026","4/1/2026","4/1/2026","","Gold Deposit Boost Payment","GDBP","","","$17.76"
"3/31/2026","3/31/2026","3/31/2026","","Brokerage-held Cash Interest Payment","INT","","","$27.94"
"3/31/2026","3/31/2026","3/31/2026","","Options Cash Collateral Interest Payment","INT","","","$89.68"
"3/31/2026","3/31/2026","3/31/2026","","Interest Payment","INT","","","$26.56"
"3/31/2026","3/31/2026","4/1/2026","TQQQ","TQQQ 5/1/2026 Call $48.00","STO","2","$0.94","$187.91"
"3/31/2026","3/31/2026","4/1/2026","HOOD","HOOD 5/8/2026 Call $85.00","STO","1","$1.10","$109.95"
"3/31/2026","3/31/2026","4/1/2026","HOOD","HOOD 4/10/2026 Call $85.00","BTC","1","$0.04","($4.04)"
"3/31/2026","3/31/2026","4/1/2026","HOOD","HOOD 5/8/2026 Call $85.00","STO","2","$1.10","$219.91"
"3/31/2026","3/31/2026","4/1/2026","HOOD","HOOD 4/10/2026 Call $85.00","BTC","2","$0.04","($8.08)"
"3/31/2026","3/31/2026","4/1/2026","TQQQ","TQQQ 5/1/2026 Call $45.00","BTC","2","$1.45","($290.08)"
"3/31/2026","3/31/2026","4/1/2026","TQQQ","TQQQ 5/1/2026 Call $45.00","STO","2","$1.35","$269.91"
"3/31/2026","3/31/2026","4/1/2026","SOFI","SOFI 4/10/2026 Call $20.00","BTC","5","$0.02","($10.20)"
"3/31/2026","3/31/2026","4/1/2026","PLTR","PLTR 4/17/2026 Call $160.00","BTC","1","$0.89","($89.04)"
"3/30/2026","3/30/2026","3/30/2026","","Interest Payment","INT","","","$231.60"
"3/30/2026","3/30/2026","3/31/2026","TQQQ","TQQQ 5/1/2026 Put $25.00","STO","3","$0.69","$206.87"
